date	course	race	mark	horse_number	horse_name	name_similarity	race_match_score
20240316	中京	2	◎	2	クアトロジャック	1.0	1.0
20240316	中京	2	○	4	シェアホルダーズ	1.0	1.0
20240316	中京	2	▲	5	アンドゥーラ	1.0	1.0
20240316	中京	2	☆	10	シセイダイキ	1.0	1.0
20240316	中京	4	○	4	コルレオニス	1.0	1.0
20240316	中京	4	▲	8	カリーニョ	1.0	1.0
20240316	中京	4	☆	9	コスモベラエステラ	1.0	1.0
20240316	中京	5	◎	1	レオボヌール	1.0	0.952
20240316	中京	5	▲	10	ロイドール	1.0	0.952
20240316	中京	5	☆	4	ラブリーポップ	0.86	0.952
20240316	中京	6	◎	6	ヴィスパメンテ	0.86	0.929
20240316	中京	6	○	1	ジェモロジー	1.0	0.929
20240316	中京	6	▲	5	タガノトラリア	0.86	0.929
20240316	中京	6	☆	4	エイトスターズ	1.0	0.929
20240316	中京	7	◎	1	ナムラマイケル	1.0	1.0
20240316	中京	7	○	6	ヴィンセドリス	1.0	1.0
20240316	中京	7	▲	4	ダノンブリザード	1.0	1.0
20240316	中京	7	☆	2	スズカキング	1.0	1.0
20240316	中京	8	◎	3	セレッソデアモール	1.0	1.0
20240316	中京	8	▲	5	エレガントギフト	1.0	1.0
20240316	中京	8	☆	1	サクラオーラ	1.0	1.0
20240316	中京	9	◎	15	キングサーガ	1.0	0.958
20240316	中京	9	○	2	コンティノアール	1.0	0.958
20240316	中京	9	▲	1	カンピオーネ	0.83	0.958
20240316	中京	9	☆	13	ワンダフルトゥデイ	1.0	0.958
20240316	中京	10	○	15	マラキナイア	1.0	0.933
20240316	中京	10	▲	14	セーヌドゥレーヴ	1.0	0.933
20240316	中京	10	☆	2	サンカルパ	0.8	0.933
20240316	中京	11	◎	15	ダノンマッキンリー	1.0	1.0
20240316	中京	11	○	9	ソンシ	1.0	1.0
20240316	中京	11	▲	6	オーキッドロマンス	1.0	1.0
20240316	中京	11	☆	4	クリスアーサー	1.0	1.0
20240316	中京	12	◎	14	エリーズダイヤ	1.0	1.0
20240316	中京	12	▲	3	リヤンドメテオール	1.0	1.0
20240316	中京	12	☆	1	デアデルマーレ	1.0	1.0
20240316	中山	4	◎	16	ノーザー	1.0	1.0
20240316	中山	4	○	3	タッチアンドムーブ	1.0	1.0
20240316	中山	4	▲	9	ローンウルフ	1.0	1.0
20240316	中山	4	☆	10	テルケンレンジョイ	1.0	1.0
20240316	中山	5	◎	11	ヤルダバオト	1.0	1.0
20240316	中山	5	○	5	ベンサレム	1.0	1.0
20240316	中山	5	▲	13	スターチョウサン	1.0	1.0
20240316	中山	5	☆	2	ゴールデンルーキー	1.0	1.0
20240316	中山	6	◎	4	エコロライジン	1.0	1.0
20240316	中山	6	○	7	レガーロデルシエロ	1.0	1.0
20240316	中山	6	▲	5	モリノレッドスター	1.0	1.0
20240316	中山	6	☆	9	ツルマウカタチ	1.0	1.0
20240316	中山	7	○	5	フェザーモチーフ	1.0	1.0
20240316	中山	7	▲	6	ブライテストドーン	1.0	1.0
20240316	中山	7	☆	2	フクノブルジュ	1.0	1.0
20240316	中山	9	○	8	マルチャン	1.0	1.0
20240316	中山	9	▲	5	ロジシルバー	1.0	1.0
20240316	中山	9	☆	3	コスモフロイデ	1.0	1.0
20240316	中山	10	◎	11	マイネルカーライル	1.0	0.964
20240316	中山	10	○	9	ホウオウバリスタ	1.0	0.964
20240316	中山	10	▲	7	レッドラパルマ	0.86	0.964
20240316	中山	10	☆	12	ローズボウル	1.0	0.964
20240316	中山	12	◎	11	サザンステート	1.0	0.95
20240316	中山	12	○	4	スクーバー	0.8	0.95
20240316	中山	12	▲	2	エコロドゥネス	1.0	0.95
20240316	中山	12	☆	13	ヤングワールド	1.0	0.95
20240316	阪神	1	◎	11	スマートヌーメン	1.0	0.964
20240316	阪神	1	○	1	シノノメ	1.0	0.964
20240316	阪神	1	▲	12	ランゲル	1.0	0.964
20240316	阪神	1	☆	5	ニホンピロケイ	0.86	0.964
20240316	阪神	2	◎	5	オイデレオ	1.0	1.0
20240316	阪神	2	▲	3	オルデラン	1.0	1.0
20240316	阪神	2	☆	14	モスコビウム	1.0	1.0
20240316	阪神	3	◎	12	リリーエクスプレス	0.89	0.874
20240316	阪神	3	▲	5	フレイミングパイ	0.88	0.874
20240316	阪神	3	☆	16	ヒロアプリオリ	0.86	0.874
20240316	阪神	4	○	1	アーマルコライト	1.0	0.952
20240316	阪神	4	▲	8	トゥラッタッタ	0.86	0.952
20240316	阪神	4	☆	5	チョウゲンキ	1.0	0.952
20240316	阪神	5	◎	8	ロンギングキイ	1.0	0.969
20240316	阪神	5	○	3	テイクザクラウン	0.88	0.969
20240316	阪神	5	▲	9	マサハヤヴォス	1.0	0.969
20240316	阪神	5	☆	1	ベルベストランナー	1.0	0.969
20240316	阪神	6	◎	6	ベネメレンティ	1.0	1.0
20240316	阪神	6	○	8	トーラスシャイン	1.0	1.0
20240316	阪神	6	▲	1	エクストラバック	1.0	1.0
20240316	阪神	6	☆	5	イリスアスール	1.0	1.0
20240316	阪神	7	◎	3	ワンダーウィルク	1.0	0.927
20240316	阪神	7	○	5	クリノグローリー	0.88	0.927
20240316	阪神	7	▲	9	ベファーナ	1.0	0.927
20240316	阪神	7	☆	2	ダノンペドロ	0.83	0.927
20240316	阪神	8	◎	4	ランスオブサターン	1.0	0.95
20240316	阪神	8	○	13	モルチャン	1.0	0.95
20240316	阪神	8	▲	1	テレパシー	0.8	0.95
20240316	阪神	8	☆	3	レディーシス	1.0	0.95
20240316	阪神	9	◎	2	バロッサヴァレー	1.0	1.0
20240316	阪神	9	○	8	マイネルメサイア	1.0	1.0
20240316	阪神	9	▲	5	リンフレスカンテ	1.0	1.0
20240316	阪神	9	☆	6	ジェンヌ	1.0	1.0
20240316	阪神	10	◎	7	エイシンフェンサー	1.0	1.0
20240316	阪神	10	○	6	シュヴェルトライテ	1.0	1.0
20240316	阪神	10	▲	15	ブッシュガーデン	1.0	1.0
20240316	阪神	10	☆	14	メイショウフンケイ	1.0	1.0
20240316	阪神	11	○	2	ジューンテイク	1.0	1.0
20240316	阪神	11	▲	1	キープカルム	1.0	1.0
20240316	阪神	11	☆	7	ミラキュラスドラマ	1.0	1.0
20240317	中京	1	◎	2	ドレアンティア	1.0	1.0
20240317	中京	1	○	8	ネバーモア	1.0	1.0
20240317	中京	1	▲	3	マーシャリアーナ	1.0	1.0
20240317	中京	1	☆	7	ノクターナル	1.0	1.0
20240317	中京	2	◎	5	メイショウオオコ	1.0	0.958
20240317	中京	2	▲	1	キモンゲーム	1.0	0.958
20240317	中京	2	☆	12	ランスオブセヘル	0.88	0.958
20240317	中京	3	◎	11	グラスチアー	1.0	0.972
20240317	中京	3	○	9	ルージュアベリア	1.0	0.972
20240317	中京	3	▲	1	キョウワレイホープ	1.0	0.972
20240317	中京	3	☆	16	ニホンピロマリンバ	0.89	0.972
20240317	中京	4	◎	7	ロビンバローズ	1.0	0.969
20240317	中京	4	○	14	ピックアチェリー	0.88	0.969
20240317	中京	4	▲	3	ミスズサンダスノー	1.0	0.969
20240317	中京	4	☆	15	ジーティームテキ	1.0	0.969
20240317	中京	5	◎	4	コンテナワールド	1.0	1.0
20240317	中京	5	○	2	クリノアドバンス	1.0	1.0
20240317	中京	5	▲	9	ディーガレジェンド	1.0	1.0
20240317	中京	5	☆	15	マイネルコモドーア	1.0	1.0
20240317	中京	6	◎	3	ニホンピロペリー	0.75	0.906
20240317	中京	6	○	2	ローレルキャニオン	1.0	0.906
20240317	中京	6	▲	10	マサハヤウォルズ	1.0	0.906
20240317	中京	6	☆	6	ヒルノデプラーツ	0.88	0.906
20240317	中京	7	◎	8	レッドテンペスト	0.88	0.969
20240317	中京	7	○	6	トモジャシーマ	1.0	0.969
20240317	中京	7	▲	3	シタン	1.0	0.969
20240317	中京	7	☆	15	オールアイウォント	1.0	0.969
20240317	中京	8	◎	6	チャプリ	0.75	0.91
20240317	中京	8	○	10	プレイサーゴールド	0.89	0.91
20240317	中京	8	▲	3	メジャークオリティ	1.0	0.91
20240317	中京	8	☆	8	クールシェルタ	1.0	0.91
20240317	中京	9	◎	9	ギヴイットアゴー	1.0	1.0
20240317	中京	9	○	5	ブエナオンダ	1.0	1.0
20240317	中京	9	▲	3	タガノデュード	1.0	1.0
20240317	中京	9	☆	6	リメリック	1.0	1.0
20240317	中京	10	○	9	プレジャークルーズ	0.89	0.963
20240317	中京	10	▲	10	セフィロ	1.0	0.963
20240317	中京	10	☆	12	ポリーフォリア	1.0	0.963
20240317	中京	12	◎	12	ノーブルヴィクター	1.0	0.902
20240317	中京	12	○	7	ビートエモーション	1.0	0.902
20240317	中京	12	▲	10	パスカリ	0.75	0.902
20240317	中京	12	☆	13	イツモハラペコ	0.86	0.902
20240317	中山	4	◎	3	ソーニャシュニク	1.0	1.0
20240317	中山	4	○	16	オウバイトウリ	1.0	1.0
20240317	中山	4	▲	6	シークレットヴァウ	1.0	1.0
20240317	中山	4	☆	5	カルフ	1.0	1.0
20240317	中山	5	◎	5	アテンスマイル	1.0	1.0
20240317	中山	5	○	12	デイジー	1.0	1.0
20240317	中山	5	▲	9	ヴィヴァクラウン	1.0	1.0
20240317	中山	5	☆	6	ハッピーデービー	1.0	1.0
20240317	中山	6	◎	2	ルークスヘリオス	1.0	1.0
20240317	中山	6	○	12	ハイハロー	1.0	1.0
20240317	中山	6	▲	10	コスモバラタ	1.0	1.0
20240317	中山	6	☆	5	マーベラスムーン	1.0	1.0
20240317	中山	7	○	1	ナスノカンゲツ	1.0	0.958
20240317	中山	7	▲	16	ハッピーパンニャ	0.88	0.958
20240317	中山	7	☆	7	ハジメテノチュウ	1.0	0.958
20240317	中山	8	◎	5	ロゼル	1.0	1.0
20240317	中山	8	○	4	テンノメッセージ	1.0	1.0
20240317	中山	8	▲	8	グラニット	1.0	1.0
20240317	中山	8	☆	2	ボルタドマール	1.0	1.0
20240317	中山	9	◎	4	フェステスバント	0.88	0.958
20240317	中山	9	▲	10	ココクレーター	1.0	0.958
20240317	中山	9	☆	5	イロゴトシ	1.0	0.958
20240317	中山	10	◎	3	イスラアネーロ	1.0	1.0
20240317	中山	10	▲	12	ドンアミティエ	1.0	1.0
20240317	中山	10	☆	9	ケイアイロベージ	1.0	1.0
20240317	中山	11	◎	7	アレグロブリランテ	1.0	0.933
20240317	中山	11	○	3	ウォーターリヒト	0.88	0.933
20240317	中山	11	▲	9	コスモブッドレア	1.0	0.933
20240317	中山	11	☆	6	ペッレグリーニ	0.86	0.933
20240317	中山	12	◎	3	シャンバラ	1.0	0.969
20240317	中山	12	○	9	ダノンボレロ	1.0	0.969
20240317	中山	12	▲	8	サトミノマロン	1.0	0.969
20240317	中山	12	☆	6	ダノンピーカブー	0.88	0.969
20240317	阪神	1	◎	7	ナムラリーナ	1.0	1.0
20240317	阪神	1	▲	6	アマミツツキ	1.0	1.0
20240317	阪神	1	☆	4	ジューンナデシコ	1.0	1.0
20240317	阪神	2	○	3	カルパ	0.67	0.847
20240317	阪神	2	▲	6	ウインアルドーレ	0.88	0.847
20240317	阪神	2	☆	7	デクランシェ	1.0	0.847
20240317	阪神	3	○	6	ベラジオラオウ	1.0	0.933
20240317	阪神	3	▲	1	パカーラン	0.8	0.933
20240317	阪神	3	☆	7	エスオーライジング	1.0	0.933
20240317	阪神	5	○	8	カズミクラーシュ	1.0	0.952
20240317	阪神	5	▲	11	スピードリッチ	0.86	0.952
20240317	阪神	5	☆	6	ノッツェドーロ	1.0	0.952
20240317	阪神	6	○	10	カンジ	1.0	0.952
20240317	阪神	6	▲	14	パシアンジャン	0.86	0.952
20240317	阪神	6	☆	11	アンデスビエント	1.0	0.952
20240317	阪神	7	◎	3	オーパンバル	0.83	0.891
20240317	阪神	7	○	2	ウェイビー	1.0	0.891
20240317	阪神	7	▲	1	グルーヴビート	0.86	0.891
20240317	阪神	7	☆	5	ペネトレイトゴー	0.88	0.891
20240317	阪神	8	◎	3	ゴーフォマームード	1.0	1.0
20240317	阪神	8	○	7	ハイランドリンクス	1.0	1.0
20240317	阪神	8	▲	6	アウロス	1.0	1.0
20240317	阪神	8	☆	1	メイショウホタルビ	1.0	1.0
20240317	阪神	9	◎	4	ミッキーレジェンド	1.0	0.964
20240317	阪神	9	○	3	アロマデローサ	1.0	0.964
20240317	阪神	9	▲	6	スカイロケット	1.0	0.964
20240317	阪神	9	☆	10	ミツルハピネス	0.86	0.964
20240317	阪神	10	◎	1	エミサキホコル	1.0	0.906
20240317	阪神	10	○	4	ロードアウォード	1.0	0.906
20240317	阪神	10	▲	3	ペプチドタイガー	0.75	0.906
20240317	阪神	10	☆	5	スマートラプター	0.88	0.906
20240317	阪神	11	◎	10	サヴォーナ	1.0	1.0
20240317	阪神	11	▲	13	シルヴァーソニック	1.0	1.0
20240317	阪神	11	☆	15	ショウナンバシット	1.0	1.0
20240323	中京	1	◎	14	ヴァズレーヌ	1.0	1.0
20240323	中京	1	○	16	アオイサクラ	1.0	1.0
20240323	中京	1	▲	2	ブラックドレス	1.0	1.0
20240323	中京	1	☆	3	マダムカリーニョ	1.0	1.0
20240323	中京	2	◎	12	ウエストチェリー	0.88	0.897
20240323	中京	2	○	11	ミッキースターダム	1.0	0.897
20240323	中京	2	▲	17	ディーエストッキー	1.0	0.897
20240323	中京	2	☆	14	ピースラピッド	0.71	0.897
20240323	中京	3	◎	2	ラピダリア	0.8	0.95
20240323	中京	3	○	9	フクチャントウメイ	1.0	0.95
20240323	中京	3	▲	10	エグマリーヌ	1.0	0.95
20240323	中京	3	☆	5	ヨゾラノムコウニ	1.0	0.95
20240323	中京	4	◎	4	グランエシェゾー	1.0	1.0
20240323	中京	4	○	7	レッドレクス	1.0	1.0
20240323	中京	4	▲	2	メイショウソニック	1.0	1.0
20240323	中京	4	☆	13	ウォーブルースター	1.0	1.0
20240323	中京	5	◎	8	ブロッケンボウ	1.0	0.938
20240323	中京	5	○	9	ジミーバローズ	1.0	0.938
20240323	中京	5	▲	3	アルレジャン	1.0	0.938
20240323	中京	5	☆	11	ノリピー	0.75	0.938
20240323	中京	6	○	9	プルーフリーダー	0.88	0.903
20240323	中京	6	▲	4	コムルヴァン	1.0	0.903
20240323	中京	6	☆	2	トントンプー	0.83	0.903
20240323	中京	7	○	11	ヨウシタンレイ	0.92	0.974
20240323	中京	7	▲	10	ハーエクセレンシー	1.0	0.974
20240323	中京	7	☆	2	ダッチアイリス	1.0	0.974
20240323	中京	8	◎	1	アイファーファイト	1.0	1.0
20240323	中京	8	○	11	エイシンレジューム	1.0	1.0
20240323	中京	8	▲	12	メイショウタイゲイ	1.0	1.0
20240323	中京	8	☆	9	ハクアイアテナ	1.0	1.0
20240323	中京	9	◎	5	キャリーハピネス	0.88	0.941
20240323	中京	9	○	7	フォトンブルー	1.0	0.941
20240323	中京	9	▲	2	ワンダイレクト	1.0	0.941
20240323	中京	9	☆	6	スピーディブレイク	0.89	0.941
20240323	中京	10	○	8	コレオグラファー	1.0	1.0
20240323	中京	10	▲	5	アームブランシュ	1.0	1.0
20240323	中京	10	☆	2	シーウィザード	1.0	1.0
20240323	中京	12	◎	10	グランプレジール	0.88	0.958
20240323	中京	12	▲	6	モカラエース	1.0	0.958
20240323	中京	12	☆	4	ロードドミニオン	1.0	0.958
20240323	中山	4	◎	10	レジーナチェリ	1.0	0.931
20240323	中山	4	○	3	パストラーレ	0.83	0.931
20240323	中山	4	▲	5	テセラリアン	1.0	0.931
20240323	中山	4	☆	4	ノーブルウィスパー	0.89	0.931
20240323	中山	5	◎	6	クオレス	1.0	1.0
20240323	中山	5	○	1	エリカカリーナ	1.0	1.0
20240323	中山	5	▲	3	バスターコール	1.0	1.0
20240323	中山	5	☆	5	クールベイビー	1.0	1.0
20240323	中山	6	◎	11	タイセイアディクト	1.0	0.972
20240323	中山	6	○	9	ダノンキラウェア	1.0	0.972
20240323	中山	6	▲	8	グレイトフルペイン	0.89	0.972
20240323	中山	6	☆	6	シモグリ	1.0	0.972
20240323	中山	7	◎	3	プチボヌール	0.83	0.958
20240323	中山	7	○	12	エメリヨン	1.0	0.958
20240323	中山	7	▲	8	アルヴィエンヌ	1.0	0.958
20240323	中山	7	☆	4	ルルシュシュ	1.0	0.958
20240323	中山	8	◎	7	アマイ	1.0	1.0
20240323	中山	8	○	8	ネイビースター	1.0	1.0
20240323	中山	8	▲	1	アヴニールドブリエ	1.0	1.0
20240323	中山	8	☆	3	マイネルニコラス	1.0	1.0
20240323	中山	9	○	7	サザンエルフ	1.0	1.0
20240323	中山	9	▲	14	ダノンセシボン	1.0	1.0
20240323	中山	9	☆	8	ヴァリアント	1.0	1.0
20240323	中山	10	◎	3	ノットイナフ	1.0	0.972
20240323	中山	10	○	1	ラタフォレスト	1.0	0.972
20240323	中山	10	▲	4	アラレタバシル	1.0	0.972
20240323	中山	10	☆	7	サンライズソレイユ	0.89	0.972
20240323	中山	11	◎	6	シュトルーヴェ	1.0	1.0
20240323	中山	11	○	9	ボッケリーニ	1.0	1.0
20240323	中山	11	▲	5	マイネルウィルトス	1.0	1.0
20240323	中山	11	☆	1	ヒートオンビート	1.0	1.0
20240323	中山	12	◎	5	バンブーグローブ	1.0	0.963
20240323	中山	12	○	13	プラウドヘリテージ	0.89	0.963
20240323	中山	12	▲	16	ラレイナ	1.0	0.963
20240323	阪神	1	◎	11	リリーズブルーム	1.0	1.0
20240323	阪神	1	▲	5	サザンカ	1.0	1.0
20240323	阪神	1	☆	2	アーニャワクワク	1.0	1.0
20240323	阪神	2	◎	1	オクヤマ	1.0	1.0
20240323	阪神	2	○	8	ミグラテール	1.0	1.0
20240323	阪神	2	▲	12	アウローラルミエル	1.0	1.0
20240323	阪神	2	☆	7	テイエムゴールドン	1.0	1.0
20240323	阪神	3	◎	7	オーケーサンダー	1.0	1.0
20240323	阪神	3	○	4	グリーズマン	1.0	1.0
20240323	阪神	3	▲	11	スターチスブーケ	1.0	1.0
20240323	阪神	3	☆	13	サクセスカノン	1.0	1.0
20240323	阪神	5	○	5	トモジャザーン	1.0	0.963
20240323	阪神	5	▲	2	サンダーユニバンス	1.0	0.963
20240323	阪神	5	☆	11	グランドエスケープ	0.89	0.963
20240323	阪神	7	◎	9	ビップジーニー	1.0	1.0
20240323	阪神	7	○	4	タイセイレスポンス	1.0	1.0
20240323	阪神	7	▲	5	カズゴルティス	1.0	1.0
20240323	阪神	7	☆	3	オベイユアマスター	1.0	1.0
20240323	阪神	8	◎	13	サンデーヒーロー	1.0	1.0
20240323	阪神	8	○	11	スリリングチェイス	1.0	1.0
20240323	阪神	8	▲	12	オーバーザドリーム	1.0	1.0
20240323	阪神	8	☆	3	オリンポスカズマ	1.0	1.0
20240323	阪神	9	◎	1	モモンウールー	1.0	0.958
20240323	阪神	9	○	6	ケーブパール	0.83	0.958
20240323	阪神	9	▲	4	ニシノコマチムスメ	1.0	0.958
20240323	阪神	9	☆	7	サクソンジェンヌ	1.0	0.958
20240323	阪神	10	○	6	ゴートゥファースト	1.0	1.0
20240323	阪神	10	▲	8	テラステラ	1.0	1.0
20240323	阪神	10	☆	2	タガノチュール	1.0	1.0
20240323	阪神	11	◎	4	メイショウタバル	1.0	1.0
20240323	阪神	11	○	7	ファーヴェント	1.0	1.0
20240323	阪神	11	▲	1	ノーブルロジャー	1.0	1.0
20240323	阪神	11	☆	6	ナイトスラッガー	1.0	1.0
20240324	中京	1	◎	2	ゴールデンスイープ	0.89	0.963
20240324	中京	1	○	1	テーオードラッカー	1.0	0.963
20240324	中京	1	▲	11	エブリモーメント	1.0	0.963
20240324	中京	2	◎	9	チョボナイノ	1.0	1.0
20240324	中京	2	▲	18	オレンジダンサー	1.0	1.0
20240324	中京	2	☆	11	ダークファンタジー	1.0	1.0
20240324	中京	3	◎	6	スプランドゥール	1.0	1.0
20240324	中京	3	○	2	ケンジョー	1.0	1.0
20240324	中京	3	▲	10	レガッタ	1.0	1.0
20240324	中京	3	☆	12	シセイダイキ	1.0	1.0
20240324	中京	4	○	9	アスクカムオンモア	1.0	1.0
20240324	中京	4	▲	1	コスモカノア	1.0	1.0
20240324	中京	4	☆	3	マリエッティ	1.0	1.0
20240324	中京	5	◎	13	シルバースペード	0.88	0.969
20240324	中京	5	○	7	オーシャントライブ	1.0	0.969
20240324	中京	5	▲	9	ノットファウンド	1.0	0.969
20240324	中京	5	☆	12	レクランスリール	1.0	0.969
20240324	中京	6	◎	5	グロリアスヒーロー	0.89	0.889
20240324	中京	6	○	6	レッドラグラス	1.0	0.889
20240324	中京	6	▲	3	ダノンフューチャー	1.0	0.889
20240324	中京	6	☆	1	トゥピ	0.67	0.889
20240324	中京	7	◎	1	ヴァンナチュール	1.0	0.914
20240324	中京	7	○	2	コパノサントス	0.86	0.914
20240324	中京	7	▲	6	フォーグッド	1.0	0.914
20240324	中京	7	☆	9	ペリプルス	0.8	0.914
20240324	中京	9	◎	4	ドゥレイクパセージ	0.89	0.972
20240324	中京	9	○	8	ガイアメンテ	1.0	0.972
20240324	中京	9	▲	1	オールナット	1.0	0.972
20240324	中京	9	☆	3	リアレスト	1.0	0.972
20240324	中京	10	○	4	サンテックス	1.0	1.0
20240324	中京	10	▲	3	マリアナトレンチ	1.0	1.0
20240324	中京	10	☆	10	ショウサンキズナ	1.0	1.0
20240324	中京	11	◎	2	マッドクール	1.0	0.969
20240324	中京	11	○	6	ルガル	1.0	0.969
20240324	中京	11	▲	5	トウシンマカオ	1.0	0.969
20240324	中京	11	☆	9	シャンパンカラー	0.88	0.969
20240324	中山	5	◎	11	クリノモルガナイト	1.0	1.0
20240324	中山	5	○	7	メアヴィア	1.0	1.0
20240324	中山	5	▲	10	ウインボレロ	1.0	1.0
20240324	中山	5	☆	1	サクラセンターベア	1.0	1.0
20240324	中山	6	◎	7	ステラシティ	0.83	0.958
20240324	中山	6	○	15	チャコール	1.0	0.958
20240324	中山	6	▲	5	ライングッドマン	1.0	0.958
20240324	中山	6	☆	2	タッカー	1.0	0.958
20240324	中山	7	◎	7	コスモメイゲツ	0.86	0.964
20240324	中山	7	○	1	ウェイワードアクト	1.0	0.964
20240324	中山	7	▲	15	ジャクソン	1.0	0.964
20240324	中山	7	☆	5	アッティラ	1.0	0.964
20240324	中山	8	◎	2	エリカリーシャン	1.0	1.0
20240324	中山	8	○	3	ニシノティアモ	1.0	1.0
20240324	中山	8	▲	4	ティンク	1.0	1.0
20240324	中山	8	☆	7	グランドハーバー	1.0	1.0
20240324	中山	9	◎	14	ラジエル	0.75	0.865
20240324	中山	9	○	11	トーアスカーレット	1.0	0.865
20240324	中山	9	▲	1	サリーピルエット	0.88	0.865
20240324	中山	9	☆	7	ゴットリープ	0.83	0.865
20240324	中山	10	○	7	コントラポスト	0.86	0.952
20240324	中山	10	▲	8	シュタールヴィント	1.0	0.952
20240324	中山	10	☆	4	ニューノーマル	1.0	0.952
20240324	中山	11	◎	8	ダノンブレット	1.0	0.972
20240324	中山	11	○	12	ブライアンセンス	1.0	0.972
20240324	中山	11	▲	11	キリンジ	1.0	0.972
20240324	中山	11	☆	1	ヴァルツァーシャル	0.89	0.972
20240324	中山	12	◎	11	ベンガン	1.0	1.0
20240324	中山	12	○	6	ティニア	1.0	1.0
20240324	中山	12	▲	9	ディオアステリア	1.0	1.0
20240324	中山	12	☆	1	アスクキングコング	1.0	1.0
20240324	阪神	1	◎	6	マハナ	1.0	1.0
20240324	阪神	1	○	3	シャローム	1.0	1.0
20240324	阪神	1	▲	10	ラスク	1.0	1.0
20240324	阪神	1	☆	11	アーウイン	1.0	1.0
20240324	阪神	2	◎	7	コンスピリート	0.86	0.952
20240324	阪神	2	▲	2	メイショウカンムリ	1.0	0.952
20240324	阪神	2	☆	13	エスタボニート	1.0	0.952
20240324	阪神	3	◎	11	テトラード	1.0	0.964
20240324	阪神	3	○	4	アーロンイメル	1.0	0.964
20240324	阪神	3	▲	2	マジカルレイズ	0.86	0.964
20240324	阪神	3	☆	14	デクランシェ	1.0	0.964
20240324	阪神	5	○	14	パシフィックハイ	0.88	0.958
20240324	阪神	5	▲	11	リチャードバローズ	1.0	0.958
20240324	阪神	5	☆	9	ジーティームテキ	1.0	0.958
20240324	阪神	6	◎	8	ムーム	1.0	0.964
20240324	阪神	6	○	6	フォーディアライフ	1.0	0.964
20240324	阪神	6	▲	7	クリノオリーブ	1.0	0.964
20240324	阪神	6	☆	3	ピストンボーイ	0.86	0.964
20240324	阪神	7	◎	5	バーニングパワー	0.88	0.933
20240324	阪神	7	○	9	タガノミア	1.0	0.933
20240324	阪神	7	▲	11	スーパーアグリ	0.86	0.933
20240324	阪神	7	☆	4	ルヴァンノワール	1.0	0.933
20240324	阪神	8	◎	8	マルベリーシチー	1.0	1.0
20240324	阪神	8	○	7	バリアントバイオ	1.0	1.0
20240324	阪神	8	▲	4	ヒノデテイオー	1.0	1.0
20240324	阪神	8	☆	2	マテンロウガイ	1.0	1.0
20240324	阪神	9	◎	1	ミタマ	1.0	1.0
20240324	阪神	9	○	4	アリスヴェリテ	1.0	1.0
20240324	阪神	9	▲	3	ロマンシングブルー	1.0	1.0
20240324	阪神	9	☆	2	スタティスティクス	1.0	1.0
20240324	阪神	10	◎	1	ビューティーウェイ	1.0	0.969
20240324	阪神	10	○	4	スマートファントム	1.0	0.969
20240324	阪神	10	▲	2	オープンファイア	0.88	0.969
20240324	阪神	10	☆	8	ミステリーウェイ	1.0	0.969
20240324	阪神	11	◎	15	エイシンスポッター	1.0	1.0
20240324	阪神	11	○	6	ノースザワールド	1.0	1.0
20240324	阪神	11	▲	2	シルトホルン	1.0	1.0
20240324	阪神	11	☆	4	ボルザコフスキー	1.0	1.0
20240330	中山	2	◎	10	ツクバアプローズ	0.88	0.958
20240330	中山	2	▲	2	フジゴウキャク	1.0	0.958
20240330	中山	2	☆	9	ビロウィダダ	1.0	0.958
20240330	中山	3	◎	12	イモータルバード	1.0	1.0
20240330	中山	3	▲	2	リベルテ	1.0	1.0
20240330	中山	3	☆	5	タンゴノアール	1.0	1.0
20240330	中山	4	◎	13	グランバイオレット	1.0	1.0
20240330	中山	4	○	1	ベルブリエ	1.0	1.0
20240330	中山	4	▲	15	グランジュール	1.0	1.0
20240330	中山	4	☆	2	アヌーク	1.0	1.0
20240330	中山	5	◎	8	タルタロス	1.0	1.0
20240330	中山	5	○	2	マイネルモメンタム	1.0	1.0
20240330	中山	5	▲	3	キャネル	1.0	1.0
20240330	中山	5	☆	12	ダズリングティアラ	1.0	1.0
20240330	中山	6	◎	1	ワカミヤノミコト	1.0	1.0
20240330	中山	6	○	2	クーアフュルスト	1.0	1.0
20240330	中山	6	▲	5	フォレストゲート	1.0	1.0
20240330	中山	6	☆	7	ミーハ	1.0	1.0
20240330	中山	7	◎	8	トゥルース	1.0	1.0
20240330	中山	7	○	10	マンマリアーレ	1.0	1.0
20240330	中山	7	▲	2	ヒルズカーン	1.0	1.0
20240330	中山	7	☆	15	ブレイクザアイス	1.0	1.0
20240330	中山	8	◎	6	ノーダブルディップ	1.0	1.0
20240330	中山	8	○	5	エンデミズム	1.0	1.0
20240330	中山	8	▲	13	マルディランダ	1.0	1.0
20240330	中山	9	◎	5	ロードアフェット	1.0	1.0
20240330	中山	9	○	6	マイネルフランツ	1.0	1.0
20240330	中山	9	▲	3	レイデラルース	1.0	1.0
20240330	中山	9	☆	8	バナマンテソーロ	1.0	1.0
20240330	中山	10	◎	11	ヨンク	1.0	0.931
20240330	中山	10	○	7	カンピオーネ	0.83	0.931
20240330	中山	10	▲	15	ジャスパーバローズ	0.89	0.931
20240330	中山	10	☆	10	ナンヨーヴィヨレ	1.0	0.931
20240330	中山	11	◎	14	キミワクイーン	1.0	1.0
20240330	中山	11	▲	9	セッション	1.0	1.0
